chemical	name	molecular_weight	SMILES_string
CIDs00002249	atenolol	266.33608	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
CIDs00002250	AC1L1D9C	558.639803	CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
CIDs00002265	azathioprine	277.26258	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
CIDs00002266	azelaic acid	188.22094	C(CCCC(=O)O)CCCC(=O)O
CIDs00002267	azelastine	381.89846	CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
CIDs00002269	zithromycin	748.98448	CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
CIDs00002274	azthreonam	435.43278	CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
CIDs00002282	AC1O4W7S	465.51998	CCOC(=O)OC(C)OC(=O)C1C(SC2N1C(=O)C2NC(=O)C(C3=CC=CC=C3)N)(C)C
CIDs00002284	baclofen	213.66078	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
CIDs00002308	AC1O7G0A	408.91566	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C
CIDs00002315	bendrofluazide	421.41457	C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
CIDs00002327	benserazide	257.2432	C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O
CIDs00002330	benzalkonium chloride	318.5597	CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1
CIDs00002333	benzbromarone	424.08338	CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
CIDs00002337	benzocaine	165.18914	CCOC(=O)C1=CC=C(C=C1)N
CIDs00002343	benzthiazide	431.93736	C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N
CIDs00002344	benztropine mesylate	307.4293	CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
CIDs00002345	benzyl ester	212.24388	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
CIDs00002349	penicillin	334.39012	CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
CIDs00002366	betahistine	136.19428	CNCCC1=CC=CC=N1
CIDs00002368	bethanidine	177.2462	CNC(=NC)NCC1=CC=CC=C1
CIDs00002369	betaxolol	307.42776	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
CIDs00002370	bethanechol	161.22208	CC(C[N+](C)(C)C)OC(=O)N
CIDs00002375	bicalutamide	430.373373	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
CIDs00002378	bifonazole	310.39172	C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
CIDs00002381	biperiden	311.46106	C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
CIDs00002391	lacO	361.39056	CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
CIDs00002405	bisoprolol	325.44304	CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
CIDs00002431	bretylium	243.16338	CC[N+](C)(C)CC1=CC=CC=C1Br
CIDs00002435	brimonidine	292.1346	C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
CIDs00002441	bromazepam	316.1527	C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
CIDs00002443	AC1L1DOT	654.5945	CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
CIDs00002450	bronopol	199.98804	C(C(CO)([N+](=O)[O-])Br)O
CIDs00002462	Turbuhaler	430.53386	CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
CIDs00002466	bufexamac	223.26828	CCCCOC1=CC=C(C=C1)CC(=O)NO
CIDs00002471	bumetanide	364.4161	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
CIDs00002474	bupivacaine	288.42772	CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
CIDs00002476	buprenorphine hydrochloride solution	467.64014	CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O
CIDs00002477	buspirone	385.50314	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
CIDs00002478	busulfan	246.30176	CS(=O)(=O)OCCCCOS(=O)(=O)C
CIDs00002482	butamben	193.2423	CCCCOC(=O)C1=CC=C(C=C1)N
CIDs00002484	butenafine	317.46718	CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
CIDs00002487	AC1L1DSH	327.46046	C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O
CIDs00002512	Cabergoline-d5	451.60428	CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
CIDs00002519	caffeine	194.1906	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CIDs00002520	verapamil	454.60162	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
CIDs00002522	Divonex	412.6047	CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C
CIDs00002537	Camphor	152.23344	CC1(C2CCC1(C(=O)C2)C)C
CIDs00002538	S)-camptothecin	348.35204	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
CIDs00002541	candesartan	440.454	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
CIDs00002548	capsaicin-	305.41188	CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
CIDs00002550	(-)-Captopril	217.2853	CC(CS)C(=O)N1CCCC1C(=O)O
CIDs00002554	carbamazepine	236.26858	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
CIDs00002561	Duogastrone	570.7566	CC1(C2CCC3(C(C2(CCC1OC(=O)CCC(=O)O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
CIDs00002563	adjunct to levodopa in Parkinsonism	226.22916	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
CIDs00002564	carbinoxamine	290.78786	CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CIDs00002576	carisoprodol	260.32996	CCCC(C)(COC(=O)N)COC(=O)NC(C)C
CIDs00002578	BCNU	214.04986	C(CCl)NC(=O)N(CCCl)N=O
CIDs00002583	carteolol	292.37336	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
CIDs00002585	carvedilol	406.47424	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
CIDs00002609	alfacet	367.80736	C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
CIDs00002610	cephadroxil	363.38828	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
CIDs00002612	AC1L1E2H	396.43804	CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O
CIDs00002622	AC1L1E3B	480.56106	C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
CIDs00002646	AC1L1E58	389.42556	CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
CIDs00002650	C2225	546.57608	CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
CIDs00002654	AC1O4QO4	410.42486	C1C=C(N2C(S1)C(C2=O)NC(=O)C(=CCC(=O)O)C3=CSC(=N3)N)C(=O)O
CIDs00002655	AC1L1E5Z	383.40282	CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=CCS3)C(=O)O
CIDs00002662	celecoxib	381.37217	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
CIDs00002663	celiprolol	379.49372	CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C
CIDs00002666	AC1L1E6T	347.38888	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O
CIDs00002673	AC1L1E7E	349.40476	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CCC=CC3)N)SC1)C(=O)O
CIDs00002675	AC1L1E7K	453.4496	C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O
CIDs00002678	cetirizine	388.8878	C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
CIDs00002682	hexadecanol	242.44056	CCCCCCCCCCCCCCCCO
CIDs00002683	cetylpyridinium chloride	304.53312	CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
CIDs00002707	chloral hydrate	165.40302	C(C(Cl)(Cl)Cl)(O)O
CIDs00002708	chlorambucil	304.21216	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
CIDs00002712	chlordiazepoxide	299.75486	CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O
CIDs00002713	chlorhexidine (CHX	505.4466	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
CIDs00002717	chlormezanone	273.73588	CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
CIDs00002719	chloroquine	319.87214	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
CIDs00002720	thiazide	295.72324	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
CIDs00002723	chloroxylenol	156.60946	CC1=CC(=CC(=C1Cl)C)O
CIDs00002725	chlorpheniramine	274.78846	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
CIDs00002726	chlorpromazine	318.86416	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
CIDs00002727	chlorpropamide	276.73982	CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
CIDs00002729	chloroprothixene	315.86022	CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
CIDs00002732	chlorthalidone	338.76614	C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
CIDs00002733	stealth	169.56516	C1=CC2=C(C=C1Cl)NC(=O)O2
CIDs00002748	NSC-88789	341.42582	CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C
CIDs00002751	AC1L1EDT	417.49864	CCOC(=O)C(CCC1=CC=CC=C1)NC2CCCN3CCCC(N3C2=O)C(=O)O
CIDs00002754	cilostazol	369.46068	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
